win_sec,bp_order,nperseg,accuracy
3.0,4,256,0.5548002301560758
3.0,6,256,0.5540688623719261
3.0,2,256,0.5529929271637875
3.0,4,128,0.5507984349090542
3.0,6,128,0.5486894641185789
3.0,2,128,0.5478721118912615
3.0,6,512,0.5380177909831709
3.0,2,512,0.537113963555041
3.0,4,512,0.5370281272651243
2.0,4,128,0.5332034954457269
2.0,2,256,0.5321139390352175
2.0,4,256,0.5319417932655947
2.0,2,128,0.531225062477393
2.0,6,128,0.5310530646805433
2.0,6,256,0.5306801815132681
2.0,6,512,0.5161429252573082
2.0,4,512,0.5160855282627997
2.0,2,512,0.5144513498405183
1.0,6,128,0.4999856805379757
1.0,4,128,0.49961314459276424
1.0,2,128,0.4993838299563988
1.0,4,256,0.4940968895449358
1.0,6,256,0.4930509878268047
1.0,2,256,0.492864638761905
1.0,6,512,0.48145965738957486
1.0,4,512,0.481402409309535
1.0,2,512,0.4797833544435052
